 ; 10000; 20000; 30000; 40000; 50000; 60000; 70000; 80000; 90000; 100000
BubbleSort;148435600;452546300;1069352100;1929525800;3077212500;4485926600;6148946500;7983948400;10088175000;12391237500
HeapSort;1837300;2204200;4057100;5262500;4344100;5511500;6471900;7503500;8537100;15001500
InsertionSort;11533400;29313300;73198800;121747800;188680200;277738000;404319900;488932700;657896800;780875400
SelectionSort;43222700;219397700;211443900;383346900;654537300;856861700;1178267200;1498239600;1915234600;2419534000
ShellSort;3139500;1817800;2785800;3865300;4915500;5872600;6911500;8326800;9458400;10852700
MergeSort;2207300;2623600;3544000;4803600;7360200;5256300;7658600;9332700;11333000;12822300
QuickSort;1566900;1145400;1785400;2386500;2995400;3700000;6949000;4957100;5518000;6433400
